Genre, Number_of_movies
(Action,1331)
(Adventure,392)
(Animation,277)
(Biography,359)
(Comedy,2080)
(Crime,522)
(Drama,1444)
(Family,14)
(Fantasy,32)
(Horror,277)
(Musical,4)
(Mystery,38)
(Romance,15)
(Sci-Fi,13)
(Thriller,18)
(War,2)
(Western,2)

Year, Number_of_movies
(1986,220)
(1987,219)
(1988,220)
(1989,221)
(1990,220)
(1991,220)
(1992,220)
(1993,220)
(1994,220)
(1995,220)
(1996,220)
(1997,220)
(1998,220)
(1999,220)
(2000,220)
(2001,220)
(2002,220)
(2003,220)
(2004,220)
(2005,220)
(2006,220)
((1989,Action),271.8000000000001,5.908695652173916)
((1989,Adventure),89.79999999999998,5.9866666666666655)
((1989,Animation),14.3,7.15)
((1989,Biography),72.30000000000001,6.572727272727274)
((1989,Comedy),480.99999999999994,6.166666666666666)
((1989,Crime),83.0,6.384615384615385)
((1989,Drama),254.80000000000007,6.370000000000002)
((1989,Family),7.2,7.2)
((1989,Fantasy),17.6,5.866666666666667)
((1989,Horror),54.3,5.43)
((1989,Sci-Fi),4.5,4.5)
((1989,Thriller),4.9,4.9)
((1990,Action),272.80000000000007,5.930434782608697)
((1990,Adventure),74.99999999999999,6.818181818181817)
((1990,Animation),26.200000000000003,6.550000000000001)
((1990,Biography),65.7,7.300000000000001)
((1990,Comedy),443.0999999999999,6.240845070422534)
((1990,Crime),112.10000000000001,6.594117647058824)
((1990,Drama),296.90000000000003,6.317021276595745)
((1990,Family),10.899999999999999,5.449999999999999)
((1990,Fantasy),7.0,3.5)
((1990,Horror),43.199999999999996,5.3999999999999995)
((1990,Mystery),6.9,6.9)
((1990,Sci-Fi),5.9,5.9)
((1990,Thriller),6.4,6.4)
((1991,Action),248.50000000000006,5.916666666666668)
((1991,Adventure),56.7,6.300000000000001)
((1991,Animation),35.1,7.0200000000000005)
((1991,Biography),41.300000000000004,6.883333333333334)
((1991,Comedy),500.9,6.1839506172839505)
((1991,Crime),102.50000000000001,6.833333333333334)
((1991,Drama),361.1,6.687037037037038)
((1991,Horror),16.8,5.6000000000000005)
((1991,Mystery),17.5,5.833333333333333)
((1991,Romance),7.1,7.1)
((1991,Thriller),6.1,6.1)
((1992,Action),223.50000000000006,6.040540540540542)
((1992,Adventure),83.2,5.942857142857143)
((1992,Animation),35.2,5.866666666666667)
((1992,Biography),77.1,7.009090909090909)
((1992,Comedy),394.1,6.356451612903226)
((1992,Crime),165.2,6.608)
((1992,Drama),366.5999999999999,6.788888888888887)
((1992,Fantasy),4.8,4.8)
((1992,Horror),40.800000000000004,5.828571428571429)
((1992,Mystery),5.0,5.0)
((1992,Romance),4.1,4.1)
((1992,Thriller),5.6,5.6)
((1993,Action),206.19999999999996,6.06470588235294)
((1993,Adventure),75.0,6.25)
((1993,Animation),35.6,7.12)
((1993,Biography),82.0,7.454545454545454)
((1993,Comedy),398.80000000000007,6.135384615384616)
((1993,Crime),128.0,6.7368421052631575)
((1993,Drama),407.7000000000001,6.5758064516129044)
((1993,Family),5.8,5.8)
((1993,Fantasy),9.6,4.8)
((1993,Horror),37.3,5.328571428571428)
((1993,Romance),6.3,6.3)
((1993,Western),5.5,5.5)
((1994,Action),194.49999999999997,5.893939393939393)
((1994,Adventure),93.4,5.8375)
((1994,Animation),32.699999999999996,6.539999999999999)
((1994,Biography),92.20000000000002,7.092307692307694)
((1994,Comedy),558.3,6.003225806451613)
((1994,Crime),124.69999999999997,7.335294117647058)
((1994,Drama),233.4,6.864705882352942)
((1994,Family),16.700000000000003,5.566666666666667)
((1994,Fantasy),13.600000000000001,6.800000000000001)
((1994,Horror),10.5,5.25)
((1994,Mystery),5.1,5.1)
((1994,Romance),5.1,5.1)
((1995,Action),257.6,6.133333333333334)
((1995,Adventure),116.29999999999997,6.121052631578945)
((1995,Animation),42.5,7.083333333333333)
((1995,Biography),61.50000000000001,6.833333333333334)
((1995,Comedy),422.8,6.2176470588235295)
((1995,Crime),122.30000000000001,6.794444444444445)
((1995,Drama),301.9,6.708888888888889)
((1995,Family),5.8,5.8)
((1995,Fantasy),13.0,6.5)
((1995,Horror),39.0,5.571428571428571)
((1995,Musical),5.8,5.8)
((1995,Mystery),8.0,8.0)
((1995,Sci-Fi),6.4,6.4)
((1996,Action),205.40000000000006,5.86857142857143)
((1996,Adventure),60.89999999999999,6.089999999999999)
((1996,Animation),32.2,6.44)
((1996,Biography),54.300000000000004,6.7875000000000005)
((1996,Comedy),517.5999999999999,6.018604651162789)
((1996,Crime),127.29999999999995,6.6999999999999975)
((1996,Drama),306.1,6.654347826086957)
((1996,Family),10.4,5.2)
((1996,Fantasy),5.7,5.7)
((1996,Horror),22.400000000000002,5.6000000000000005)
((1996,Mystery),4.8,4.8)
((1996,Romance),6.1,6.1)
((1996,Sci-Fi),6.3,6.3)
((1996,Thriller),5.2,5.2)
((1997,Action),313.79999999999995,5.81111111111111)
((1997,Adventure),57.49999999999999,5.749999999999999)
((1997,Animation),37.5,7.5)
((1997,Biography),55.099999999999994,6.887499999999999)
((1997,Comedy),408.8,6.011764705882353)
((1997,Crime),129.4,6.810526315789474)
((1997,Drama),319.8,7.106666666666667)
((1997,Fantasy),16.5,5.5)
((1997,Horror),29.999999999999996,5.999999999999999)
((1997,Mystery),7.6,7.6)
((1997,Romance),12.1,6.05)
((1998,Action),233.3,5.982051282051282)
((1998,Adventure),47.7,5.9625)
((1998,Animation),52.3,6.5375)
((1998,Biography),69.89999999999999,6.989999999999999)
((1998,Comedy),539.2,6.343529411764706)
((1998,Crime),136.90000000000003,6.8450000000000015)
((1998,Drama),267.20000000000005,6.851282051282053)
((1998,Horror),42.699999999999996,5.3374999999999995)
((1998,Mystery),7.7,7.7)
((1998,Thriller),10.3,5.15)
((1999,Action),176.79999999999993,5.893333333333331)
((1999,Adventure),53.19999999999999,6.649999999999999)
((1999,Animation),55.7,6.9625)
((1999,Biography),80.9,7.354545454545455)
((1999,Comedy),472.89999999999986,6.141558441558439)
((1999,Crime),98.2,6.546666666666667)
((1999,Drama),382.59999999999997,6.712280701754385)
((1999,Fantasy),19.3,6.433333333333334)
((1999,Horror),40.300000000000004,5.757142857142858)
((1999,Musical),6.2,6.2)
((1999,Mystery),20.2,6.733333333333333)
((2000,Action),203.19999999999993,5.976470588235292)
((2000,Adventure),71.0,5.916666666666667)
((2000,Animation),77.7,6.4750000000000005)
((2000,Biography),63.300000000000004,7.033333333333334)
((2000,Comedy),447.5,6.215277777777778)
((2000,Crime),143.6,6.527272727272727)
((2000,Drama),333.80000000000007,6.676000000000001)
((2000,Horror),34.5,5.75)
((2000,Mystery),8.5,8.5)
((2000,Romance),13.2,6.6)
((2001,Action),204.99999999999997,6.029411764705881)
((2001,Adventure),79.39999999999999,6.616666666666666)
((2001,Animation),85.0,7.083333333333333)
((2001,Biography),56.6,7.075)
((2001,Comedy),437.89999999999986,6.167605633802815)
((2001,Crime),113.5,6.676470588235294)
((2001,Drama),371.7,6.758181818181818)
((2001,Fantasy),6.9,6.9)
((2001,Horror),55.2,6.133333333333334)
((2001,Mystery),6.6,6.6)
((2002,Action),257.4,6.128571428571428)
((2002,Adventure),56.7,6.300000000000001)
((2002,Animation),68.19999999999999,6.199999999999999)
((2002,Biography),63.9,7.1)
((2002,Comedy),360.09999999999997,6.001666666666666)
((2002,Crime),197.2,6.8)
((2002,Drama),336.00000000000006,6.7200000000000015)
((2002,Horror),35.699999999999996,5.949999999999999)
((2002,Musical),7.6,7.6)
((2002,Mystery),4.8,4.8)
((2002,Romance),13.7,6.85)
((2003,Action),321.09999999999997,6.174999999999999)
((2003,Adventure),72.0,6.545454545454546)
((2003,Animation),59.99999999999999,6.666666666666666)
((2003,Biography),76.19999999999999,6.927272727272726)
((2003,Comedy),406.5000000000001,6.06716417910448)
((2003,Crime),121.0,7.117647058823529)
((2003,Drama),282.5,6.726190476190476)
((2003,Horror),46.1,5.7625)
((2003,Mystery),17.5,5.833333333333333)
((2004,Action),256.59999999999997,6.258536585365853)
((2004,Adventure),55.0,6.875)
((2004,Animation),77.5,6.458333333333333)
((2004,Biography),96.70000000000002,7.43846153846154)
((2004,Comedy),443.3999999999999,6.073972602739725)
((2004,Crime),114.4,7.15)
((2004,Drama),328.3,6.839583333333334)
((2004,Family),5.9,5.9)
((2004,Horror),37.1,6.183333333333334)
((2004,Mystery),6.6,6.6)
((2004,Sci-Fi),7.7,7.7)
((2005,Action),260.40000000000003,5.918181818181819)
((2005,Adventure),119.20000000000002,6.273684210526317)
((2005,Animation),46.00000000000001,6.571428571428572)
((2005,Biography),84.89999999999999,7.074999999999999)
((2005,Comedy),422.60000000000014,6.307462686567166)
((2005,Crime),149.80000000000004,7.1333333333333355)
